"Time","x"
-5.727438751E-1,1.005169067E3
4.278321250E-1,1.005168762E3
1.428407125E0,1.005169067E3
2.428983125E0,1.005170593E3
3.429559125E0,1.005172501E3
4.430141125E0,1.005172501E3
4.981094125E0,1.005173187E3
5.981665125E0,1.005172348E3
6.982241125E0,1.005172348E3
7.982819125E0,1.005169907E3
8.983399125E0,1.005165482E3
9.983968125E0,1.005164642E3
1.098454512E1,1.005160294E3
1.198513012E1,1.005158539E3
1.298570012E1,1.005158539E3
1.398628012E1,1.005158691E3
1.498685412E1,1.005159073E3
1.598742512E1,1.005159531E3
1.698800712E1,1.005159836E3
1.798857912E1,1.005160446E3
1.898915612E1,1.005160599E3
1.998973112E1,1.005163345E3
2.099031212E1,1.005166168E3
2.199088812E1,1.005167923E3
2.299146712E1,1.005169067E3
2.399207112E1,1.005169067E3
2.499261912E1,1.005167084E3
2.599319112E1,1.005160217E3
2.699377712E1,1.005155258E3
2.799434612E1,1.005147934E3
2.899492312E1,1.005144806E3
2.999550012E1,1.005140457E3
3.099607612E1,1.005140457E3
3.199665212E1,1.005140762E3
3.299723212E1,1.005143661E3
3.399780212E1,1.005146332E3
3.499870712E1,1.005151443E3
3.599895712E1,1.005157013E3
3.699953312E1,1.005162659E3
3.800011312E1,1.005165558E3
3.900069112E1,1.005165787E3
4.000126712E1,1.005165863E3
4.100184212E1,1.005165787E3
4.200241712E1,1.005163116E3
4.300299912E1,1.005161896E3
4.400357512E1,1.005159454E3
4.500414612E1,1.005157547E3
4.600475312E1,1.005157242E3
4.700530412E1,1.005157547E3
4.800587812E1,1.005157928E3
4.900645712E1,1.005160980E3
5.000703612E1,1.005162506E3
5.100761012E1,1.005163574E3
5.200818612E1,1.005163727E3
5.300876112E1,1.005163956E3
5.400933412E1,1.005164795E3
5.500991612E1,1.005165100E3
5.601049112E1,1.005164795E3
5.701106712E1,1.005162964E3
5.801164212E1,1.005161514E3
5.901222112E1,1.005159988E3
6.001279912E1,1.005159225E3
6.101337112E1,1.005159225E3
6.201395212E1,1.005160904E3
6.301452312E1,1.005161972E3
6.401510012E1,1.005163498E3
6.501567812E1,1.005164948E3
6.601625812E1,1.005165634E3
6.701683212E1,1.005166550E3
6.801741013E1,1.005167007E3
6.901798612E1,1.005167007E3
7.001855812E1,1.005166168E3
7.101913512E1,1.005165863E3
7.201971612E1,1.005166168E3
7.302028712E1,1.005166931E3
7.402086512E1,1.005167542E3
7.502144512E1,1.005168228E3
7.602201912E1,1.005168228E3
7.702259612E1,1.005165100E3
7.802317412E1,1.005165100E3
7.902374912E1,1.005167236E3
8.002432912E1,1.005170441E3
8.102515612E1,1.005175400E3
8.202547912E1,1.005179062E3
8.302605612E1,1.005179520E3
8.402663312E1,1.005179520E3
8.502721013E1,1.005178833E3
8.602778212E1,1.005176773E3
8.702836112E1,1.005176392E3
8.802893912E1,1.005175934E3
8.902951112E1,1.005175934E3
9.003013512E1,1.005175934E3
9.103066912E1,1.005175018E3
9.203124412E1,1.005174103E3
9.303182112E1,1.005172806E3
9.403240112E1,1.005169220E3
9.503297112E1,1.005163879E3
9.603354812E1,1.005160217E3
9.703412512E1,1.005154114E3
9.803470212E1,1.005149536E3
9.903548912E1,1.005142212E3
1.000358541E2,1.005140305E3
1.010364331E2,1.005138245E3
1.020370081E2,1.005138245E3
1.030375841E2,1.005138016E3
1.040381601E2,1.005136108E3
1.050387341E2,1.005133667E3
1.060393121E2,1.005132980E3
1.070398911E2,1.005132751E3
1.080404761E2,1.005132751E3
1.090410411E2,1.005135956E3
1.100416201E2,1.005136337E3
1.110421951E2,1.005138626E3
1.120427721E2,1.005138931E3
1.130433481E2,1.005138931E3
1.140439211E2,1.005140076E3
1.150445031E2,1.005143204E3
1.160450751E2,1.005147400E3
1.170456761E2,1.005151901E3
1.180462351E2,1.005157547E3
1.190468061E2,1.005160599E3
1.200473821E2,1.005164337E3
1.210479561E2,1.005164871E3
1.220485361E2,1.005166931E3
1.230491111E2,1.005169373E3
1.240496841E2,1.005173111E3
1.250502681E2,1.005176010E3
1.260510011E2,1.005178757E3
1.270514141E2,1.005180130E3
1.280519931E2,1.005180130E3
1.290525701E2,1.005178146E3
1.300531451E2,1.005177612E3
1.310537261E2,1.005177155E3
1.320543011E2,1.005176544E3
1.330548751E2,1.005174713E3
1.340554491E2,1.005172501E3
1.350563461E2,1.005169144E3
1.360566031E2,1.005167236E3
1.370571761E2,1.005164642E3
1.380577631E2,1.005163879E3
1.390583371E2,1.005163879E3
1.400589151E2,1.005164566E3
1.410594911E2,1.005164719E3
1.420600651E2,1.005164719E3
1.430606391E2,1.005164719E3
1.440612211E2,1.005163345E3
1.450617931E2,1.005161819E3
1.460623731E2,1.005161057E3
1.470629541E2,1.005160751E3
1.480635291E2,1.005160446E3
1.490640991E2,1.005160370E3
1.500646801E2,1.005160141E3
1.510652521E2,1.005158310E3
1.520658211E2,1.005156403E3
1.530664091E2,1.005153732E3
1.540669781E2,1.005152817E3
1.550675591E2,1.005151062E3
1.560681281E2,1.005151062E3
1.570687081E2,1.005151138E3
1.580692881E2,1.005152969E3
1.590698621E2,1.005153503E3
1.600704401E2,1.005156097E3
1.610710161E2,1.005157394E3
1.620715881E2,1.005157928E3
1.630721681E2,1.005158386E3
1.640729151E2,1.005158386E3
1.650733221E2,1.005156937E3
1.660738961E2,1.005156937E3
1.670744741E2,1.005156937E3
1.680750511E2,1.005155945E3
1.690756241E2,1.005155945E3
1.700762061E2,1.005156860E3
1.710767821E2,1.005156860E3
1.720773521E2,1.005156708E3
1.730779341E2,1.005156708E3
1.740785031E2,1.005158539E3
1.750790851E2,1.005159454E3
1.760796611E2,1.005160217E3
1.770802351E2,1.005164032E3
1.780808181E2,1.005165558E3
1.790813881E2,1.005166779E3
1.800819681E2,1.005168076E3
1.810825421E2,1.005168610E3
1.820831191E2,1.005168610E3
1.830836951E2,1.005168610E3
1.840842751E2,1.005168381E3
1.850848481E2,1.005168381E3
1.860858311E2,1.005167770E3
1.870860001E2,1.005167770E3
1.880865771E2,1.005167694E3
1.890871551E2,1.005167007E3
1.900877251E2,1.005166702E3
1.910883051E2,1.005166702E3
1.920888831E2,1.005166245E3
