"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.459440000E-1,1.842684112E-3,2.232212573E-3,7.147099823E-4
4.956290000E-1,4.079155624E-3,2.150895074E-3,3.452481469E-3
7.453200000E-1,9.091477841E-5,1.825178042E-3,-1.339782961E-3
9.950100000E-1,1.360325143E-3,-1.611727290E-3,1.276442781E-4
1.244700000E0,2.543016104E-3,1.716448925E-3,-1.174744684E-4
1.494394125E0,1.501531107E-3,8.365274407E-4,1.395467669E-3
1.744084125E0,5.262615159E-4,-1.473461278E-3,-1.677405322E-3
1.993774125E0,6.704418920E-4,2.246521879E-3,1.227623317E-3
2.243464125E0,1.315987203E-3,-8.356445469E-4,2.103960840E-3
2.493149917E0,-1.755103469E-3,3.632056061E-3,9.326213039E-4
2.742840917E0,-1.261024736E-3,7.986007258E-4,3.669410944E-4
2.992530917E0,4.066172987E-4,-1.556672156E-3,-2.422961406E-4
3.242220917E0,2.444292419E-3,1.918166410E-3,1.300031552E-3
3.491911000E0,-1.684721559E-3,2.735869959E-3,-3.485789290E-3
3.741601000E0,5.673998967E-4,3.729285672E-4,-1.529007917E-3
3.991291000E0,1.421391731E-3,-1.548050903E-3,2.012768062E-3
4.240981000E0,1.511102775E-3,-1.518027857E-4,-7.012230344E-5
4.490670375E0,8.977577090E-5,-7.018712349E-4,6.913158577E-4
4.740360375E0,-9.614881128E-5,4.197005183E-6,3.861766309E-4
4.990050375E0,1.175154233E-3,3.938768059E-4,-2.843269147E-3
5.239740375E0,-7.635131478E-4,-1.807840541E-3,2.140325960E-4
5.489430875E0,7.345252670E-4,1.668861602E-3,-8.867478464E-4
5.739120875E0,-2.317293547E-4,1.096470281E-3,-1.193845179E-3
5.988810875E0,-3.504213411E-3,2.732542343E-4,3.480492160E-4
6.238501875E0,1.233855262E-3,-2.704653889E-5,-2.200088929E-4
6.488192417E0,8.116625249E-4,1.451520249E-3,-2.207460813E-3
6.737882417E0,1.328258542E-3,1.508546062E-3,9.272773750E-4
6.987572417E0,8.095819503E-4,-1.565467101E-3,8.533850778E-4
7.237262417E0,-1.769578550E-3,1.569161657E-3,2.537166234E-3
7.486951792E0,8.047563024E-4,-8.832942694E-5,8.365360554E-4
7.736641792E0,-3.966697957E-3,4.029180855E-4,-1.605751109E-3
7.986331792E0,-7.516564801E-4,6.963596679E-4,2.544259885E-3
8.236021792E0,-2.469774336E-5,-1.753808931E-3,2.246242948E-3
8.485711250E0,-1.784346532E-3,-5.429172888E-4,-2.654397395E-3
8.735401250E0,2.628059592E-3,1.902256161E-3,-5.989023484E-4
8.985091250E0,1.257029362E-4,-5.687680095E-4,-1.600011019E-3
9.234781250E0,9.188149124E-5,2.065678127E-4,-1.167582814E-4
9.484470875E0,2.531090518E-3,3.783316351E-4,-6.394777447E-4
9.734160875E0,1.843984704E-3,-2.585616894E-4,-1.006974839E-3
9.983850875E0,3.164777532E-3,2.379655838E-3,1.922369935E-3
1.023354088E1,-1.324601471E-4,2.148179337E-4,7.528602146E-5
1.048323062E1,7.283175364E-4,-1.017600298E-4,-1.843189006E-3
1.073292063E1,4.360182211E-4,-1.245605294E-3,4.282714799E-4
1.098261062E1,-1.574485563E-3,3.123665228E-4,-1.022702781E-3
1.123230062E1,-1.755191479E-3,3.044665791E-4,5.264293868E-4
1.148199175E1,-2.725748345E-5,-1.167190261E-3,1.208201516E-3
1.173168175E1,-1.896266825E-3,1.081647351E-4,-4.807042424E-4
1.198137175E1,1.148474403E-4,3.199777566E-4,-8.384962566E-4
1.223106175E1,4.973756149E-4,9.306780994E-4,4.556006752E-5
1.248075075E1,1.193463337E-3,9.302934632E-5,1.661701826E-3
1.273044075E1,1.222046325E-3,-2.228464000E-4,1.215175260E-3
1.298013075E1,5.067465827E-4,3.787591122E-4,-1.713256701E-3
1.322982075E1,-1.320728566E-3,2.302140929E-4,1.187552698E-3
1.347951025E1,-4.046093673E-4,9.593768045E-4,1.319841947E-3
1.372920025E1,6.127702072E-4,-4.126643762E-4,-5.580447614E-4
1.397889025E1,1.910851570E-3,2.729939297E-5,-3.389502643E-3
1.422858025E1,9.016816039E-4,-1.901287120E-3,1.842863858E-3
1.447826975E1,5.315323360E-4,-1.707379241E-3,-3.072309773E-4
1.472795875E1,-1.286346465E-3,2.170543186E-3,-2.206846140E-3
1.497764875E1,2.649405738E-3,1.278263517E-4,-9.508314542E-4
1.522733875E1,-6.371317431E-5,1.518700272E-3,7.625685539E-4
1.547702879E1,-9.987507947E-4,8.779484779E-4,3.361678682E-4
1.572671879E1,4.076436162E-4,3.745090216E-4,-3.894716501E-4
1.597640879E1,-6.799031980E-4,8.562719449E-4,-1.118092332E-4
1.622609879E1,1.671306556E-3,-1.330271363E-3,1.416252926E-4
