"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.459440000E-1,7.948823730E-3,-8.456005733E-3,-2.613880813E-2
4.956290000E-1,6.672312599E-4,-8.187417537E-3,-2.313743234E-2
7.453200000E-1,9.768331060E-3,-7.952651829E-3,-3.034646451E-2
9.950100000E-1,2.772694845E-3,-8.451090418E-3,-2.395487309E-2
1.244700000E0,-1.667278726E-4,2.262598369E-3,-2.265445232E-2
1.494394125E0,2.213783255E-3,-4.476189762E-3,-3.568906546E-2
1.744084125E0,-1.617668755E-3,-5.893993378E-3,-1.772466481E-2
1.993774125E0,-7.995007597E-3,-2.378281876E-3,-6.133436859E-2
2.243464125E0,5.018244926E-3,2.196872011E-3,-3.134341478E-2
2.493149917E0,-2.422693307E-3,-5.841843523E-3,-2.221825004E-2
2.742840917E0,3.668643599E-3,-4.009801224E-3,-3.287304640E-2
2.992530917E0,3.172151037E-3,-6.994786542E-3,-2.626686215E-2
3.242220917E0,3.792129485E-3,6.742570549E-5,-4.003939390E-2
3.491911000E0,1.420462271E-3,9.374109954E-3,-3.165799499E-2
3.741601000E0,9.938804805E-4,-3.716197908E-3,-3.003246903E-2
3.991291000E0,8.163955584E-3,9.682112038E-3,-2.868410110E-2
4.240981000E0,5.583506227E-3,4.160111211E-3,-3.177727818E-2
4.490670375E0,1.181744210E-2,1.382071646E-2,-1.455839753E-2
4.740360375E0,-4.199534236E-3,-1.093794778E-4,-1.890872598E-2
4.990050375E0,-2.272687557E-2,-8.137496933E-4,-2.939102948E-2
5.239740375E0,-8.556395117E-4,-3.530110270E-3,-2.535645068E-2
5.489430875E0,3.873140831E-4,-1.307938088E-2,-2.851687074E-2
5.739120875E0,7.556009609E-3,-1.012397882E-2,-2.641772032E-2
5.988810875E0,1.140819183E-2,-6.026524175E-3,-2.790408254E-2
6.238501875E0,4.277133183E-3,9.683171846E-3,-2.911562562E-2
6.488192417E0,-2.410176611E-3,-1.270033512E-3,-3.105924010E-2
6.737882417E0,-6.498367069E-3,-8.800790459E-4,-3.272862017E-2
6.987572417E0,1.348705972E-3,6.157574896E-3,-2.931560040E-2
7.237262417E0,-3.964914707E-3,-3.898064587E-3,-3.408458948E-2
7.486951792E0,-1.607102654E-3,-7.551167384E-3,-3.392905354E-2
7.736641792E0,-7.082695775E-3,6.728975773E-3,-3.154163539E-2
7.986331792E0,-5.853008050E-3,-9.191823006E-4,-2.673639357E-2
8.236021792E0,-3.055974171E-3,1.066557717E-2,-2.659313679E-2
8.485711250E0,-3.180346275E-3,6.619249117E-3,-3.404015064E-2
8.735401250E0,-8.159698080E-4,5.257359501E-3,-2.116107345E-2
8.985091250E0,1.070407743E-2,-8.274541050E-4,-2.835490286E-2
9.234781250E0,9.140477143E-4,-1.937712450E-3,-2.702933908E-2
9.484470875E0,5.746488227E-3,-4.900222532E-3,-3.975814283E-2
9.734160875E0,1.536671114E-3,5.934192985E-4,-2.763335645E-2
9.983850875E0,-3.472254812E-3,9.208542388E-3,-1.729197085E-2
1.023354088E1,-4.025488207E-4,6.249211729E-6,-2.414256871E-2
1.048323062E1,1.441034420E-2,-3.032914214E-3,-2.774796188E-2
1.073292063E1,-1.935458074E-2,2.276430689E-3,-2.116399705E-2
1.098261062E1,-1.170809004E-2,-9.068117850E-4,-3.239591360E-2
1.123230062E1,2.407394615E-2,1.637476198E-3,-2.342219174E-2
1.148199175E1,-8.656423618E-3,-9.133679755E-3,-2.417589784E-2
1.173168175E1,1.630931885E-2,1.742579900E-3,-3.628197312E-2
1.198137175E1,-7.594765685E-3,4.562308285E-3,-2.147097588E-2
1.223106175E1,-8.223058144E-3,-4.228231274E-3,-1.777202725E-2
1.248075075E1,-4.312161659E-3,2.127673868E-3,-3.573876679E-2
1.273044075E1,8.460244965E-3,9.175194986E-3,-1.924377143E-2
1.298013075E1,1.182454099E-2,1.311725987E-2,-2.102307916E-2
1.322982075E1,2.048626821E-4,-9.107129741E-3,-3.104637623E-2
1.347951025E1,-3.144906666E-3,-5.264284797E-3,-2.119615674E-2
1.372920025E1,-1.771733295E-2,4.130984768E-3,-2.490796924E-2
1.397889025E1,1.257259630E-2,9.078167751E-3,-1.518989682E-2
1.422858025E1,8.967938600E-4,3.494076803E-3,-1.985188186E-2
1.447826975E1,-8.218663596E-3,2.025950588E-3,-3.182113230E-2
1.472795875E1,1.098945353E-2,-4.677370526E-3,-3.675091982E-2
1.497764875E1,1.789380466E-2,-1.486314710E-2,-3.482367754E-2
1.522733875E1,-4.041138645E-3,-4.670244232E-3,-1.446308792E-2
1.547702879E1,-9.259810592E-3,-4.045834690E-3,-2.595929861E-2
1.572671879E1,1.093319692E-3,-1.026186347E-3,-2.658027291E-2
1.597640879E1,9.989419766E-4,2.973802518E-3,-1.595237374E-2
1.622609879E1,-7.481466746E-4,5.463126674E-3,-3.268418133E-2
1.647579129E1,1.859186171E-3,1.211798899E-3,-2.640251756E-2
1.672548129E1,-1.001003120E-2,-1.248106454E-3,-3.361388862E-2
1.697517129E1,-9.001331683E-4,-4.184267521E-3,-3.690119326E-2
1.722486129E1,-8.158693090E-5,-2.074062210E-3,-2.834730148E-2
1.747454729E1,9.069625335E-3,-8.559556268E-3,-2.460859179E-2
1.772423729E1,-4.070667084E-4,1.315270862E-2,-2.537223816E-2
1.797392629E1,8.853570716E-3,1.947305538E-4,-2.581136405E-2
1.822361629E1,1.316428428E-2,7.956087068E-3,-2.537223816E-2
1.847330704E1,-2.933328822E-3,1.524643209E-3,-2.475067914E-2
1.872299704E1,-5.473450664E-3,-1.631223332E-2,-2.505473435E-2
1.897268704E1,8.617736064E-3,-2.729041725E-3,-2.399697304E-2
1.922237604E1,-5.635126177E-3,-4.208880644E-3,-2.715680838E-2
1.947206613E1,-1.110898797E-2,-9.235128947E-3,-3.810922801E-2
1.972175612E1,-9.348811610E-3,7.702336181E-3,-3.225207210E-2
1.997144612E1,2.666787151E-4,-4.167054780E-4,-3.822851121E-2
2.022113613E1,-6.453215601E-3,4.663117938E-3,-2.341342092E-2
2.047082625E1,-5.266655660E-3,-2.345500924E-3,-3.060725033E-2
2.072051525E1,7.770305495E-3,8.858677894E-3,-2.594701946E-2
2.097020525E1,-1.013532607E-2,1.771688070E-3,-3.626910925E-2
2.121989525E1,-5.569098322E-3,-7.979951017E-3,-4.167076707E-2
2.146958487E1,6.310525266E-3,-2.864678856E-3,-2.983658731E-2
2.171927388E1,1.116192355E-3,-2.854007687E-3,-2.641187310E-2
2.196896387E1,2.266262015E-3,2.072728314E-3,-2.592889309E-2
2.221865387E1,9.388956400E-3,7.234467566E-4,-2.936413229E-2
2.246834488E1,-3.145491388E-3,-8.072337024E-3,-3.626443148E-2
2.271803487E1,6.573613426E-3,4.672948569E-3,-2.611892760E-2
2.296772387E1,3.775839508E-3,2.378647327E-3,-1.504196227E-2
2.321741387E1,5.511964629E-3,-4.437250961E-3,-2.279537022E-2
2.346710312E1,-9.289307054E-3,-1.073154107E-2,-1.773226619E-2
2.371679313E1,-3.814440267E-3,-1.184441239E-2,-2.314444900E-2
2.396648312E1,-7.909569726E-3,5.373591185E-3,-1.639617741E-2
2.421617212E1,8.107219320E-3,8.685417585E-3,-3.468568325E-2
2.446586225E1,-2.999667311E-3,6.511879619E-3,-2.106342494E-2
2.471555225E1,1.521243601E-2,-3.887174148E-3,-2.432967961E-2
2.496524225E1,6.178739076E-3,-3.222491909E-3,-3.404190481E-2
2.521493225E1,-1.442165948E-2,-5.987877734E-3,-2.104588330E-2
2.546462113E1,-2.274594298E-3,2.788427509E-3,-2.733573318E-2
2.571431112E1,-1.269850787E-3,-6.373647787E-4,-2.868936360E-2
2.596400112E1,8.489426225E-5,-6.783957873E-3,-2.957989454E-2
2.621369112E1,-2.774650007E-3,-2.082778215E-3,-2.985179007E-2
2.646337967E1,9.753119163E-3,-1.546953991E-4,-3.555516422E-2
2.671306967E1,1.334690927E-3,-9.833554924E-4,-3.915061712E-2
2.696275967E1,-3.752076058E-3,-3.612921461E-3,-1.864267766E-2
2.721244967E1,4.201594465E-3,1.861059107E-3,-2.676270604E-2
2.746214029E1,-3.431082191E-3,-1.377348192E-3,-2.897763133E-2
2.771182929E1,3.330281675E-3,9.300197493E-3,-3.510142028E-2
2.796151929E1,-1.426903345E-3,-1.423979737E-3,-2.402971745E-2
2.821120929E1,-1.534154071E-3,-6.051173843E-3,-2.703460157E-2
2.846089867E1,6.069683935E-3,-2.192998230E-3,-3.513007164E-2
2.871058767E1,1.145131504E-3,2.967005130E-3,-2.361982763E-2
2.896027767E1,-4.412669814E-3,-3.263111785E-3,-2.465010703E-2
2.920996767E1,-5.090183951E-3,9.598387219E-4,-3.271107852E-2
2.945965904E1,2.019299380E-4,-9.712152109E-3,-2.672236025E-2
2.970934804E1,1.167615876E-5,1.561809573E-3,-2.748951495E-2
2.995903804E1,2.318622004E-3,-8.712424412E-3,-3.019560635E-2
3.020872804E1,3.024636749E-3,-5.550542548E-3,-2.779181600E-2
3.045841804E1,-3.257063571E-3,-3.598212060E-3,-3.285725892E-2
3.070810700E1,-5.808715392E-3,-1.588414405E-3,-2.224222362E-2
3.095779600E1,-5.143599180E-3,3.970094975E-3,-2.735444427E-2
3.120748600E1,3.275728980E-3,-9.572257474E-4,-3.976808310E-2
3.145717600E1,-2.744810935E-3,-6.881953552E-3,-2.789414227E-2
3.170686550E1,2.100730995E-3,-9.471849818E-3,-1.695809484E-2
3.195655450E1,1.313428989E-2,1.397500986E-2,-2.729889572E-2
