Time;x;y;z
2.459440000E-1;3.228390884E1;-7.488967896E1;-1.968630981E1
4.956290000E-1;3.228577042E1;-7.493629456E1;-2.016302490E1
7.453200000E-1;3.246063232E1;-7.487673950E1;-1.969381714E1
9.950100000E-1;3.224825668E1;-7.496945190E1;-1.985769653E1
1.244700000E0;3.221016312E1;-7.519670868E1;-1.960446167E1
1.494394125E0;3.211194611E1;-7.495646667E1;-1.946466064E1
1.744084125E0;3.203298950E1;-7.505465698E1;-2.008038330E1
1.993774125E0;3.223905182E1;-7.496742249E1;-2.017092896E1
2.243464125E0;3.201673889E1;-7.489613342E1;-1.971417236E1
2.493149917E0;3.179358292E1;-7.481735229E1;-1.963143921E1
2.742840917E0;3.208358383E1;-7.486519623E1;-1.970736694E1
2.992530917E0;3.230731964E1;-7.500070190E1;-2.000994873E1
3.242220917E0;3.213674927E1;-7.489920044E1;-1.963500977E1
3.491911000E0;3.220824814E1;-7.488488770E1;-1.998382568E1
3.741601000E0;3.214837646E1;-7.485603333E1;-2.014559937E1
3.991291000E0;3.202130127E1;-7.502119446E1;-2.003573608E1
4.240981000E0;3.223208618E1;-7.503332520E1;-1.956893921E1
4.490670375E0;3.167273331E1;-7.471543884E1;-1.935388184E1
4.740360375E0;3.214238739E1;-7.519195557E1;-1.957708740E1
4.990050375E0;3.204714966E1;-7.474234772E1;-2.012609863E1
5.239740375E0;3.199210358E1;-7.456929016E1;-1.991879272E1
5.489430875E0;3.200695038E1;-7.499464417E1;-1.956030273E1
5.739120875E0;3.218191528E1;-7.484796143E1;-1.983459473E1
5.988810875E0;3.207989883E1;-7.470948029E1;-1.934555054E1
6.238501875E0;3.185561752E1;-7.485137939E1;-1.907824707E1
6.488192417E0;3.188536453E1;-7.470969391E1;-1.934088135E1
6.737882417E0;3.203151703E1;-7.489666748E1;-1.891949463E1
6.987572417E0;3.179963303E1;-7.476931763E1;-1.927972412E1
7.237262417E0;3.195760727E1;-7.462676239E1;-1.938339233E1
7.486951792E0;3.206909561E1;-7.497375488E1;-1.959387207E1
7.736641792E0;3.223085403E1;-7.455838013E1;-1.986236572E1
7.986331792E0;3.221371841E1;-7.486582947E1;-1.964947510E1
8.236021792E0;3.241460800E1;-7.480317688E1;-1.954241943E1
8.485711250E0;3.238648224E1;-7.490496063E1;-1.941259766E1
8.735401250E0;3.261402512E1;-7.465542603E1;-1.931344604E1
8.985091250E0;3.227577591E1;-7.454152679E1;-1.948486328E1
9.234781250E0;3.192826843E1;-7.446860504E1;-1.917910767E1
9.484470875E0;3.226340485E1;-7.505854034E1;-1.971820068E1
9.734160875E0;3.193045425E1;-7.472161865E1;-1.948449707E1
9.983850875E0;3.208366013E1;-7.504632568E1;-1.996359253E1
1.023354088E1;3.210004425E1;-7.450793457E1;-1.931982422E1
1.048323062E1;3.221455765E1;-7.465775299E1;-1.913864136E1
1.073292063E1;3.210342026E1;-7.429559326E1;-1.957406616E1
1.098261062E1;3.236002731E1;-7.485676575E1;-1.961990356E1
1.123230062E1;3.181270981E1;-7.456260681E1;-1.994046021E1
1.148199175E1;3.230207443E1;-7.471482849E1;-1.920501709E1
1.173168175E1;3.217966843E1;-7.456840515E1;-1.890188599E1
1.198137175E1;3.240847778E1;-7.445316315E1;-1.933804321E1
1.223106175E1;3.183473969E1;-7.443025970E1;-1.912652588E1
1.248075075E1;3.217669296E1;-7.462818146E1;-1.947723389E1
1.273044075E1;3.248843384E1;-7.479895782E1;-1.981619263E1
1.298013075E1;3.212202835E1;-7.454067993E1;-1.947888184E1
1.322982075E1;3.211268997E1;-7.481646729E1;-1.898489380E1
1.347951025E1;3.193751907E1;-7.441689301E1;-1.924957275E1
1.372920025E1;3.219142914E1;-7.490205383E1;-1.908917236E1
1.397889025E1;3.215841675E1;-7.497863770E1;-1.950701904E1
1.422858025E1;3.233979797E1;-7.460694885E1;-1.962698364E1
1.447826975E1;3.225258636E1;-7.468257904E1;-1.923757935E1
1.472795875E1;3.229472351E1;-7.449011230E1;-1.941384888E1
1.497764875E1;3.184436798E1;-7.463174438E1;-1.937097168E1
1.522733875E1;3.232577515E1;-7.478726196E1;-1.976538086E1
1.547702879E1;3.221720886E1;-7.467621613E1;-1.976718140E1
1.572671879E1;3.180696869E1;-7.511682129E1;-1.978567505E1
1.597640879E1;3.205020905E1;-7.487211609E1;-1.915225220E1
1.622609879E1;3.220484543E1;-7.478322601E1;-1.941592407E1
1.647579129E1;3.215221024E1;-7.474495697E1;-1.980346680E1
1.672548129E1;3.239054871E1;-7.494697571E1;-1.923565674E1
1.697517129E1;3.236836624E1;-7.485068512E1;-1.942495728E1
1.722486129E1;3.211256790E1;-7.508959961E1;-1.961752319E1
1.747454729E1;3.229175949E1;-7.487505341E1;-1.959381104E1
1.772423729E1;3.231924438E1;-7.485899353E1;-1.925906372E1
1.797392629E1;3.211271667E1;-7.460087585E1;-1.911605835E1
1.822361629E1;3.229688263E1;-7.505868530E1;-1.928976440E1
1.847330704E1;3.244545746E1;-7.493080139E1;-1.956872559E1
1.872299704E1;3.203940582E1;-7.455484009E1;-1.979193115E1
1.897268704E1;3.203825378E1;-7.461423492E1;-1.988546753E1
1.922237604E1;3.224542618E1;-7.486103821E1;-1.930691528E1
1.947206613E1;3.190678787E1;-7.492010498E1;-1.950579834E1
1.972175612E1;3.226741791E1;-7.496466827E1;-2.003048706E1
1.997144612E1;3.217596054E1;-7.466102600E1;-1.959051514E1
