Time;x;y;z
0.000000000E0;3.423381042E-1;3.111579437E0;9.742939453E0
3.026730000E-1;5.647755432E-1;3.249592438E0;9.572144623E0
7.062070000E-1;7.806266785E-1;-1.389261017E0;9.730365601E0
1.109767917E0;1.019978943E0;-2.075284424E0;7.987839203E0
1.513271917E0;5.688171387E-3;1.871109009E-2;-1.351689148E0
1.916845875E0;-4.465513916E0;-5.168152771E0;-2.568433914E1
2.320379875E0;-3.272195435E0;-1.106199646E0;-7.141499176E0
2.723913875E0;-1.217702774E1;-5.849086761E0;7.217990112E0
3.127432500E0;1.183738403E0;-4.001179504E-1;1.186432800E1
3.530936500E0;5.571264496E0;-1.974693604E0;9.412726135E0
3.934466250E0;2.163151703E0;-4.507576447E0;9.155261536E0
4.338000250E0;-1.130000153E0;-1.069151688E1;5.490881653E0
4.741490250E0;3.125799866E0;-1.117710709E1;1.310973816E0
5.145054250E0;3.409609680E0;-4.142934723E0;7.657326508E0
5.548588250E0;2.089953918E0;-8.519533539E0;7.005731506E0
5.952132875E0;4.417763214E0;-5.095404053E-1;4.698429565E0
6.355636875E0;9.650431824E-1;-5.649102631E0;9.825567627E0
6.759073750E0;2.976111145E0;-1.028406418E1;6.424789581E0
7.162546750E0;6.276747437E0;-6.588998108E0;-1.227297821E0
7.565988750E0;5.305117950E0;-3.690425720E0;3.179238739E0
7.969454292E0;4.964875488E0;-9.273665314E0;9.180409241E-1
8.372927292E0;4.304448853E0;-3.986959076E0;-1.464374817E1
8.776331292E0;1.154938293E1;1.095122681E0;-5.615272980E0
9.179743292E0;5.571114807E0;-8.821904755E0;-5.073549500E0
9.583185292E0;8.994346161E0;-7.511230316E0;-3.509302368E0
9.986587417E0;9.472901001E0;-4.796775055E0;3.255729675E-1
1.039002942E1;6.455775146E0;-7.095245361E-1;1.902244263E0
1.079348837E1;8.445737000E0;-3.714226227E0;2.260149994E0
1.119686937E1;1.649659515E1;5.245990906E0;-2.081346817E1
1.160028137E1;3.747606812E0;-2.271825714E0;7.095844116E0
1.200367800E1;7.345824280E0;-4.607568512E0;1.677860870E0
1.240709000E1;6.212980042E0;-5.363795929E0;2.459685059E0
1.281052250E1;5.500611420E0;-1.054871384E1;-1.490899658E0
1.321393450E1;6.266418915E0;-8.277187500E0;3.918850708E-1
1.361734650E1;3.649111633E0;-8.077951813E0;1.471440125E0
1.402077012E1;6.683601379E-1;-8.984766083E0;2.945424957E0
1.442418212E1;2.779120789E0;-9.252110138E0;2.987487488E0
1.482759362E1;2.180665283E0;-8.782835999E0;1.845063171E0
1.523100562E1;2.461032257E0;-9.247170410E0;2.034120026E0
1.563447862E1;2.474204865E0;-9.241182861E0;1.918260956E0
1.603793412E1;2.620151367E0;-9.135053558E0;2.126627655E0
1.644137712E1;2.820285187E0;-9.055568848E0;1.995949402E0
1.684484762E1;2.600691833E0;-9.185648346E0;2.060016174E0
1.724829062E1;2.628234558E0;-9.142987061E0;2.002086639E0
1.765179362E1;2.712658997E0;-9.137897644E0;1.991009674E0
1.805522012E1;2.534828796E0;-9.153165894E0;1.911375275E0
1.845866212E1;2.989283752E0;-9.222322083E0;2.013612671E0
1.886210592E1;3.218307495E0;-9.179960175E0;2.286794586E0
1.926554892E1;2.837050323E0;-9.076525269E0;2.115401001E0
1.966899092E1;1.968706055E0;-9.179361420E0;2.570155334E0
2.007245912E1;3.071313171E0;-8.996591492E0;2.080822906E0
2.047593212E1;2.494861908E0;-9.332343292E0;1.709445190E0
2.087939642E1;7.504194946E0;-3.967050476E0;4.670288086E-1
2.128286942E1;6.295757904E0;-6.375541992E0;1.084045715E0
2.168634242E1;7.151827698E0;-6.490053864E0;-1.118174744E0
2.208985354E1;3.664828949E0;-1.056218582E1;-5.478607178E-2
2.249332654E1;2.819087677E0;-1.015114059E1;2.007625122E0
2.289681237E1;1.771416321E0;-9.785600739E0;3.790866852E0
2.330025537E1;3.051254883E0;-9.164542236E0;2.548450470E0
2.370369738E1;2.383643188E0;-8.810827789E0;2.112706604E0
2.410718812E1;2.848426666E0;-1.005818390E1;8.726852417E-1
2.451069112E1;5.023703156E0;-1.036953644E1;1.588646393E0
2.491426225E1;3.615431671E0;-8.668473816E0;1.914668427E0
2.531782725E1;3.943848724E0;-9.390572205E0;2.215991821E0
2.572133025E1;2.915337524E0;-9.605375519E0;1.944306793E0
2.612492400E1;3.973038025E0;-9.448352051E0;1.109193420E-1
2.652848900E1;6.321654053E0;-8.925040283E0;2.409988403E-1
2.693200904E1;2.892584839E0;-9.588610382E0;1.766326904E0
2.733551204E1;2.178270264E0;-8.873996429E0;3.923790436E0
2.773901504E1;1.711391144E0;-9.422605591E0;3.037333832E0
2.814252400E1;2.342179413E0;-7.872279510E0;1.682800598E0
2.854602700E1;2.103425903E0;-9.973310394E0;3.023712158E-1
2.894949300E1;3.694317627E0;-8.826395416E0;1.727557526E0
2.935293600E1;3.032394104E0;-9.817634125E0;1.003662872E0
2.975637800E1;2.769989777E0;-9.450298004E0;5.688171387E-3
3.015982025E1;2.029180298E0;-9.880054321E0;1.192869415E0
3.056323225E1;9.319769440E0;-7.583529968E0;6.430627441E0
3.096663412E1;5.010380859E0;-7.820337524E0;1.907932434E0
3.137004612E1;2.382894745E0;-7.482340393E0;-1.947450256E-1
3.177344029E1;9.062155151E-1;-7.982151031E0;5.510041809E-1
3.217688229E1;2.696342926E0;-1.063957489E1;2.263592834E0
3.258026429E1;3.250340881E0;-7.911497955E0;1.953737183E0
3.298365500E1;4.622836761E0;-1.054362442E1;5.110372925E-1
3.338706700E1;1.280287628E0;-7.641160126E0;9.190887451E-1
3.379046238E1;1.886377258E0;-8.859626312E0;6.762936401E-1
3.419387337E1;4.764442291E0;-9.442364502E0;2.045196991E0
3.459725537E1;4.241130524E0;-8.216114502E0;3.029550018E0
3.500067937E1;3.552712097E0;-8.380772095E0;2.313588867E0
3.540412237E1;5.462590485E0;-6.215075684E0;6.881190491E-1
3.580751504E1;2.734214172E0;-9.057514801E0;3.739224243E-1
3.621092704E1;1.458417206E0;-1.012434631E1;4.239034882E0
3.661430804E1;2.911744995E0;-6.863078156E0;3.373235321E0
3.701767329E1;5.473517761E0;-7.103777618E0;6.452032928E0
3.742105429E1;5.757626953E0;-9.501641235E0;2.642754364E0
3.782450950E1;-8.352630615E-2;-9.038803711E0;2.930007019E0
3.822795250E1;2.504891052E0;-8.748557281E0;3.450923767E0
3.863139450E1;1.756297760E0;-7.684120789E0;5.916446686E0
3.903485029E1;6.783593445E0;-6.729855194E0;3.021766205E0
3.943835329E1;1.050216064E0;-1.281799484E1;4.478985901E0
3.984178037E1;2.888992310E0;-9.862989807E0;-7.587721252E-1
4.024525337E1;4.009113007E0;-1.018047958E1;1.016536102E0
4.064872637E1;3.229833527E0;-7.125781860E0;6.993457031E-1
4.105219550E1;1.745220795E0;-6.058950348E0;8.334667969E-1
4.145566850E1;4.857698364E0;-8.456065521E0;3.436553650E0
4.185919567E1;2.781366119E0;-1.202629120E1;1.025218048E0
4.226266867E1;3.041375427E0;-8.307873688E0;6.147715759E-1
4.266611167E1;1.228944397E0;-7.328310699E0;1.955383759E0
4.306959837E1;8.601113892E-1;-4.253105621E0;1.166973267E0
4.347307137E1;4.684957581E0;-7.800428925E0;2.894530792E0
4.387650512E1;3.157833252E0;-1.626532608E1;-6.969506836E-1
4.427997812E1;6.308631134E0;-1.265004410E1;2.468516693E0
4.468342012E1;5.568869476E0;-1.082039886E1;2.417622528E0
4.508686237E1;2.404449921E0;-1.057056839E1;-2.412982178E-1
4.549030537E1;2.006577301E0;-1.089404572E1;2.905009003E0
4.589376292E1;8.328680420E-1;-5.392835541E0;1.011446686E0
4.629720492E1;4.299060059E-1;-3.457809448E0;1.514550476E0
4.670067792E1;-5.266049194E-1;-5.550906830E0;2.073937225E0
4.710416150E1;3.263663177E0;-8.506959686E0;2.010169830E0
4.750763450E1;4.510270844E0;-1.274240204E1;-3.176394653E-1
4.791106125E1;5.331463165E0;-9.627379761E0;1.500779114E0
4.831450425E1;4.580923920E0;-1.010518616E1;2.224524078E0
4.871794625E1;9.084608459E-1;-8.436306610E0;-7.325765991E-1
4.912137117E1;2.160906372E0;-4.497547302E0;9.069639587E-1
4.952478317E1;3.007246399E-1;-1.448672470E1;8.821156311E-1
4.992820150E1;7.056326294E0;-9.829160156E0;3.405568085E0
5.033167450E1;6.086343384E0;-9.973609772E0;-2.389031982E-1
