Time,x
-5.207217500E-1,1.015297012E3
5.173432500E-1,1.015365295E3
1.554133250E0,1.015368805E3
2.591544250E0,1.015368805E3
3.630898250E0,1.015315552E3
4.668902250E0,1.015312729E3
5.706464250E0,1.015312729E3
6.744208250E0,1.015309677E3
6.831287250E0,1.015309677E3
7.870370250E0,1.015415573E3
8.910974250E0,1.015415573E3
9.948556250E0,1.015407791E3
1.098617525E1,1.015394974E3
1.202399725E1,1.015382004E3
1.306044925E1,1.015248032E3
1.409667225E1,1.015237045E3
1.513336825E1,1.015236130E3
1.617145625E1,1.015236130E3
1.720935325E1,1.015236130E3
1.824743125E1,1.015236359E3
1.928461025E1,1.015237350E3
2.032170225E1,1.015239563E3
2.135843125E1,1.015238266E3
2.239423625E1,1.015238266E3
2.343161925E1,1.015237885E3
2.446975125E1,1.015237808E3
2.550546225E1,1.015237885E3
2.654305325E1,1.015237808E3
2.757930925E1,1.015233307E3
2.861646825E1,1.015233078E3
2.965337725E1,1.015232086E3
3.069165525E1,1.015232086E3
3.172850525E1,1.015234909E3
3.276523025E1,1.015239410E3
3.380177025E1,1.015240631E3
3.483855825E1,1.015240631E3
3.587510125E1,1.015238113E3
3.691124725E1,1.015232697E3
3.794687625E1,1.015226974E3
3.898352425E1,1.015226746E3
4.002114625E1,1.015219193E3
4.105930825E1,1.015214310E3
4.209500425E1,1.015209045E3
4.313157925E1,1.015208359E3
4.416827225E1,1.015202179E3
4.520530525E1,1.015202179E3
4.624203025E1,1.015200119E3
4.727872025E1,1.015202408E3
4.831573625E1,1.015202637E3
4.935288525E1,1.015203934E3
5.038922925E1,1.015205841E3
5.142552425E1,1.015207062E3
5.246227325E1,1.015208588E3
5.349796625E1,1.015207901E3
5.453554525E1,1.015208740E3
5.557291125E1,1.015210037E3
5.660941225E1,1.015210419E3
5.764516425E1,1.015210037E3
5.868320025E1,1.015207520E3
5.971967225E1,1.015206299E3
6.075666125E1,1.015202484E3
6.179356125E1,1.015198288E3
6.282959225E1,1.015198288E3
6.386543225E1,1.015198822E3
6.490295125E1,1.015202866E3
6.593958725E1,1.015205231E3
6.697610625E1,1.015210190E3
6.801228525E1,1.015214691E3
6.904947125E1,1.015215225E3
7.008701525E1,1.015217514E3
7.112494925E1,1.015219879E3
7.216159225E1,1.015220261E3
7.319729725E1,1.015219879E3
7.423296725E1,1.015216675E3
7.527097225E1,1.015214615E3
7.630748425E1,1.015211411E3
7.734484825E1,1.015207062E3
7.838108225E1,1.015202789E3
7.941915525E1,1.015202484E3
8.045550625E1,1.015201874E3
8.149147325E1,1.015201950E3
8.252779525E1,1.015201950E3
8.356392625E1,1.015204315E3
8.459999925E1,1.015205154E3
