Time,x,y,z
3.312070000E-1,-5.845388770E-1,-3.244756162E-1,-3.048340976E-1
5.814210000E-1,-1.359474659E0,-5.447788239E-1,-4.088358954E-3
8.316309167E-1,-6.513682008E-2,-5.118486881E-1,-2.499429435E-1
1.081844917E0,-3.275126934E0,-4.618186653E-1,1.264475346E0
1.332058917E0,-5.013219833E0,1.593487710E-2,-1.466509223E0
1.582302917E0,-5.093942642E0,-2.371958196E-1,-1.065545082E0
1.832525875E0,1.636348844E0,3.684245348E0,-1.010849118E0
2.082739875E0,-4.905392230E-2,1.103151813E-1,-2.325815707E-2
2.332953875E0,-3.718611598E-1,-7.536500454E0,8.500843644E-1
2.583197875E0,2.191293478E0,-1.932368398E0,-2.379357338E0
2.833395500E0,1.601300359E0,-4.425072670E0,-1.305958152E0
3.083609500E0,-5.384653807E-1,-3.344190717E-1,2.171581388E-1
3.333823500E0,-4.778730273E-1,-6.190173626E-1,9.211477041E-1
3.584067500E0,-2.699492276E-1,3.594250083E-1,-3.739369214E-1
3.834277250E0,-7.053792477E-1,-6.514760852E-1,-4.075310528E-1
4.084491250E0,-1.102426171E0,2.180152178E0,-8.164945245E-1
4.334705250E0,7.049269080E-1,7.872285247E-1,1.155643836E-1
4.584949250E0,3.751752377E-1,6.244966388E-1,1.609269343E-2
4.835148250E0,5.964450836E-1,-2.944891751E-1,7.845827937E-1
5.085362250E0,5.347399116E-1,-1.194485664E0,-7.125244290E-2
5.335606250E0,4.135077596E-1,-1.222167686E-1,7.411023974E-1
5.585820250E0,2.497576237E0,1.172908783E0,-2.192265272E0
5.836043875E0,1.829772830E0,-1.643981934E0,-2.491227627E0
6.086287875E0,-2.553464174E0,2.696699619E0,-2.142438173E0
6.336501875E0,2.381593227E0,-6.271209121E-1,-1.244322300E0
6.586715875E0,-5.164549828E0,1.618360162E0,-7.187483907E-1
6.836923750E0,2.637784779E-1,-2.542926788E0,-2.494407892E0
7.087167750E0,3.852358580E0,-4.034879208E0,-1.555361986E0
7.337381750E0,1.561599016E0,3.522074521E-1,-2.881919444E-1
7.587625750E0,-2.881239653E0,-3.082466364E0,1.442467690E0
7.837832292E0,-8.328573704E-1,-8.153955936E-1,-8.071407676E-1
8.088045292E0,1.519641638E0,-2.882406116E-1,8.312680721E-1
8.338290292E0,-4.372027516E-1,-2.107681990E0,-2.152427435E0
8.588503292E0,2.122821093E0,2.788691282E0,-2.985048890E-1
8.838709292E0,2.249914408E0,-4.883688688E-1,1.887199759E0
9.088953292E0,2.964683175E-1,-1.311037540E0,-8.981091976E-1
9.339167292E0,-7.073848844E-1,1.014728546E1,-1.101635075E1
9.589411292E0,-2.889398113E-2,-3.175843000E0,-3.699622154E-1
9.839614417E0,2.594682574E-1,-2.795402288E0,3.866810724E-2
1.008982842E1,1.034151554E0,2.808502913E-1,6.848897338E-1
1.034007242E1,-1.583011150E0,6.367895007E-1,-7.248980999E-1
1.059028642E1,-7.555771470E-1,2.601123095E0,7.213462591E-1
1.084054637E1,-5.415877104E-1,7.304162979E-1,-4.395096004E-1
1.109076037E1,-7.372699976E-1,3.301408142E-4,-3.226216137E-2
1.134097337E1,5.600484610E-1,-1.169491172E0,-4.494833946E-1
1.159121737E1,2.151009440E-1,5.011594296E-1,-5.989952683E-1
1.184141600E1,-4.653368890E-1,-3.168704987E0,-6.925944239E-2
1.209166000E1,-1.398681402E0,1.985447884E0,4.335808456E-1
1.234187400E1,-1.121300220E0,1.415163428E-1,7.194000483E-2
1.259211800E1,1.516268134E0,-5.717543364E-1,2.276221752E0
1.284232150E1,1.112330079E0,-2.931690216E0,6.151238084E-1
1.309253550E1,1.772821993E-1,-9.511428475E-1,-3.844544888E-1
1.334277950E1,7.037550807E-1,-4.723424911E-1,-8.463036418E-1
1.359299350E1,-1.255438030E-1,9.056735635E-1,1.614367843E0
1.384324912E1,7.921492457E-1,-4.306103587E-1,8.076784015E-1
1.409346312E1,7.130284794E-4,-6.301217079E-1,2.398471385E-1
1.434370712E1,7.264698297E-2,-5.269615650E-1,-2.253336161E-1
1.459392013E1,-2.199914306E-1,1.578200608E-1,-2.782883048E-1
1.484410362E1,1.243064404E-1,-7.272362709E-2,1.608955860E-2
1.509434762E1,-3.681671992E-2,2.799659967E-2,4.112802446E-3
1.534456162E1,1.505697239E-2,-1.073681861E-1,1.000169441E-1
1.559480562E1,-2.778157033E-2,6.956481189E-2,-9.325466305E-2
1.584503312E1,2.035230026E-2,-8.761109784E-4,-4.519795254E-2
1.609527712E1,1.044650562E-3,3.099092841E-2,-3.898231313E-3
1.634549012E1,-9.217785671E-3,-4.024779424E-3,2.745999396E-2
1.659573412E1,-9.464182891E-3,-7.833697833E-3,-1.876506209E-2
1.684594662E1,-1.756568439E-3,1.301116217E-2,1.998581365E-2
1.709616062E1,7.495087571E-3,-1.710544340E-2,3.340436146E-3
1.734640462E1,-3.728109412E-3,-4.565464333E-3,5.580924451E-3
1.759661762E1,8.705604821E-3,-4.348506220E-3,-1.737382263E-2
1.784684612E1,-1.250583678E-2,2.789824083E-2,-3.239823133E-2
1.809705912E1,2.446506917E-2,-4.934225231E-2,2.539314330E-2
1.834730312E1,-1.279303245E-2,-1.372081041E-2,-7.571772486E-2
1.859751712E1,6.815699488E-2,1.806326509E-1,-1.733413488E-1
1.884773292E1,5.277271196E-2,-1.502089202E-3,-5.414975807E-3
1.909797692E1,-3.410349134E-3,4.040696844E-2,-3.528778255E-2
1.934818992E1,-1.069867238E-2,6.584919989E-3,-7.510426454E-3
1.959843392E1,-6.708961725E-2,1.691544205E-1,-6.801129878E-2
1.984864312E1,5.178494006E-2,-2.101379931E-1,-4.401033372E-2
2.009885712E1,1.341800671E-2,-1.365030706E-1,-3.219621256E-2
2.034910112E1,3.979847431E-1,-5.183339715E-1,1.623845100E-1
2.059931413E1,1.086518407E0,-2.679010630E0,-1.313339233E0
2.084955042E1,-4.447263777E-1,-3.978273869E-1,-1.077138186E0
2.109976342E1,-6.358485222E-1,7.267563790E-2,1.459645927E-1
2.134997742E1,1.487807870E0,-2.299651504E-1,1.190512300E0
2.160022142E1,6.575845480E-1,-6.568974853E-1,-1.968105435E-1
2.185044354E1,-7.774910927E-1,1.175287008E0,1.352021217E0
2.210065654E1,8.657290339E-1,-1.505691767E0,1.511609435E0
2.235090054E1,-2.856780030E-2,1.074615195E-1,-1.710393548E0
2.260111454E1,-2.102611661E-1,1.488184452E0,6.966493279E-2
2.285134137E1,-2.880398929E-1,9.715676308E-1,8.757854104E-1
2.310155537E1,-1.007526740E-1,4.300486743E-1,4.552775919E-1
2.335176837E1,-5.166385174E-1,1.472255439E-1,-1.053082466E0
2.360201337E1,-1.730072200E-1,-9.221283793E-1,-1.475813389E-1
2.385221312E1,6.915429235E-1,-1.276927471E0,7.796357274E-1
2.410245712E1,6.707156897E-1,-6.987121701E-1,4.558263719E-1
2.435267112E1,-5.631381273E-1,-6.977943778E-1,-6.047492027E-1
2.460288512E1,1.257334650E-1,8.680073917E-2,8.865711838E-2
2.485313625E1,8.499155641E-1,-6.355139613E-1,5.713106692E-2
2.510334925E1,-4.163339138E-1,3.640485406E-1,4.414794967E-2
2.535356325E1,-4.947222769E-2,4.838507622E-3,-7.078020275E-2
2.560380725E1,-3.922860026E-1,6.782490611E-1,-3.192633092E-1
2.585402000E1,1.708034724E-1,-6.901800036E-1,1.333508193E-1
2.610426400E1,7.690222561E-2,-1.925835758E-1,2.924682796E-1
2.635447700E1,1.445830464E-1,3.065118790E-1,1.801282316E-1
2.660469100E1,-4.911794364E-1,1.756235242E0,-3.904303610E-1
2.685492104E1,1.144293547E-1,-4.131672680E-1,-9.672337770E-2
2.710513504E1,8.656600714E-1,-3.312183321E-1,1.393660188E0
2.735534804E1,9.434278309E-2,5.766508728E-2,-1.752677113E-1
2.760559304E1,-5.849123746E-2,-3.749173284E-1,3.362207487E-2
2.785581100E1,3.572204709E-1,-6.963709593E-1,5.628797039E-2
2.810605500E1,4.012855887E-1,-7.509291172E-1,6.132358313E-1
2.835626900E1,-8.945762515E-1,1.992860794E0,-5.164727569E-1
2.860648300E1,-9.346497059E-1,8.911724091E-1,-8.460144401E-1
2.885672000E1,5.512992665E-2,-2.029924542E-1,2.056808472E-1
2.910693300E1,-2.008930035E-2,3.514094278E-2,2.473197579E-1
2.935717800E1,-1.357012093E-1,-6.832277775E-1,-2.522363886E-2
2.960739100E1,-1.698906124E-1,5.205104500E-2,1.943810284E-2
2.985760525E1,-7.452137768E-2,5.687741041E-1,-1.574076265E-1
3.010784925E1,1.112282753E0,-1.838843465E0,6.652553678E-1
3.035806325E1,1.519893169E0,-1.550855756E0,1.290612340E0
3.060830725E1,-6.466145515E-1,-1.428871274E0,-2.466717005E0
3.085851012E1,-1.052798510E0,9.421867132E-1,6.347919106E-1
3.110875412E1,-1.721769810E0,1.124650240E0,1.312134504E0
3.135896812E1,7.284935117E-1,4.803995788E-1,-9.629580379E-1
3.160921212E1,-6.527498364E-2,9.897741079E-1,-1.305269152E-1
3.185940829E1,-4.544079304E-1,-1.203042865E-1,-2.042227983E-1
3.210962129E1,-1.804498196E0,1.799778819E0,3.870599270E-1
3.235986629E1,1.029442191E0,-6.143200397E-1,-4.584005773E-1
3.261007929E1,1.570518315E-1,3.954978883E-1,6.890636683E-2
3.286033300E1,-2.692156136E-1,4.890727811E-3,2.462755591E-1
3.311054700E1,1.515785009E-1,-3.147705272E-2,-3.933613598E-1
3.336079100E1,1.346584596E-2,-1.004796252E-1,-1.426324993E-1
3.361100500E1,-7.734685540E-1,1.850289702E0,2.695885003E-1
3.386123237E1,1.036762834E0,-8.595556617E-1,8.088482171E-2
3.411144637E1,-5.993513018E-2,6.895649433E-2,-2.066428363E-1
3.436169037E1,3.412321210E-1,5.986216068E-1,-4.363498092E-1
3.461190338E1,1.762145013E-1,-2.735424340E-1,3.812962174E-1
3.486212937E1,-7.297232002E-2,1.617836766E-3,-3.318593800E-1
3.511234337E1,3.199565411E-1,-8.229851723E-1,1.347164810E-1
3.536258737E1,3.244424704E-3,-7.419157624E-1,1.578716338E-1
3.561280137E1,-3.804642558E-1,3.035343587E-1,3.417452574E-1
3.586302604E1,3.297002614E-1,1.275739521E-1,3.523265123E-1
3.611327104E1,-7.296091318E-2,1.931775570E0,-2.531452775E-1
3.636348404E1,2.269137949E-1,6.873129010E-1,6.605031341E-2
3.661372804E1,1.803725958E-1,-1.100137711E0,6.378338933E-1
3.686392529E1,2.571346164E-1,-9.489224553E-1,1.982263625E-1
3.711416929E1,-1.125647351E-1,1.059031367E0,-5.635236502E-1
3.736438329E1,9.174232930E-2,-4.631008208E-1,9.520005584E-1
3.761462729E1,6.573342532E-2,7.895798087E-1,-1.057606697E0
3.786485350E1,-1.827232540E-1,-2.370660007E-2,1.433714628E-1
3.811509850E1,5.397605896E-1,-9.022812843E-1,2.024427950E-1
3.836531150E1,4.896767139E-1,5.262355804E-1,7.826783657E-1
3.861555550E1,-2.412521392E-1,3.021261692E-1,-6.990032196E-1
3.886575229E1,-7.081047446E-2,-9.964672849E-3,-3.406040967E-1
3.911599629E1,-8.426684737E-1,1.638212562E0,-4.676344395E-1
3.936621029E1,-8.515150547E-1,-1.030679867E-1,-3.425652385E-1
3.961645429E1,1.101587892E0,1.287656546E0,7.094039321E-1
3.986665237E1,-9.169060588E-1,3.209998131E0,-2.665815115E0
4.011689637E1,-8.914577365E-1,4.298559129E-1,-1.124397993E0
4.036710937E1,-9.077339768E-1,1.504791141E0,1.446752429E0
4.061732337E1,7.246889472E-1,-4.510907531E-1,8.434836864E-1
4.086756450E1,-9.430199265E-1,1.017441154E0,-1.475301147E0
4.111777850E1,4.681614339E-1,8.881183267E-1,-1.113292694E0
4.136802250E1,-2.982845306E-1,2.209956348E-1,5.991927981E-1
4.161823550E1,-7.135090418E-3,6.181589961E-1,1.869874001E0
4.186847367E1,-4.679749161E-2,5.968908072E-1,-1.456698775E0
4.211868667E1,7.726695538E-1,3.741503656E-1,-1.702749848E0
4.236893067E1,-1.083070505E-2,-6.747784019E-1,1.166864872E0
4.261914467E1,-5.691127181E-1,4.149600267E-1,1.568082690E0
4.286937337E1,-2.305966169E-1,3.190529943E-1,-1.192197919E0
