Time;x;y;z
3.312070000E-1;-4.664363395E-1;5.123257264E-1;3.571795070E-1
5.814210000E-1;1.325952628E0;1.915436166E0;1.012949420E0
8.316309167E-1;4.594031623E-1;-5.266451190E-1;-9.294149280E-3
1.081844917E0;1.795668232E-1;1.465361067E0;-5.664069164E-1
1.332058917E0;-8.090801069E-1;8.889020265E0;3.055100012E-1
1.582302917E0;-2.299162324E0;3.255290842E0;7.228719753E0
1.832525875E0;-1.223141766E0;-1.264426763E0;6.456307243E0
2.082739875E0;-2.132145965E0;-4.991605011E-1;-4.891347921E-1
2.332953875E0;-1.259512910E0;-9.088859385E-1;3.816166584E0
2.583197875E0;-7.759814749E0;-3.962976136E0;5.491467544E0
2.833395500E0;-2.255009999E0;1.280206352E0;-6.937215003E0
3.083609500E0;-2.666656027E0;2.472690436E0;-7.512355905E0
3.333823500E0;9.984793156E-1;6.901541725E-1;-1.897357160E0
3.584067500E0;7.233298123E-2;2.382023510E0;-8.887218153E-1
3.834277250E0;1.923083447E0;2.819761276E-1;-6.586637002E-1
4.084491250E0;-2.103350036E0;-2.324943575E0;8.426533574E-1
4.334705250E0;-1.808626539E0;-2.492160494E0;-3.182372262E0
4.584949250E0;-3.986297171E0;2.248261435E0;-3.699591815E0
4.835148250E0;5.183505513E-1;3.645574653E0;3.054208896E0
5.085362250E0;1.374182509E0;2.658137219E0;4.194962078E-1
5.335606250E0;3.594667331E0;5.615699242E0;2.402899239E0
5.585820250E0;-2.631820071E-1;-5.574396265E-1;-6.253304780E-1
5.836043875E0;-1.221515217E0;2.563977751E0;-1.908361620E0
6.086287875E0;-1.401150307E0;3.032333293E0;1.023422368E0
6.336501875E0;2.045493445E-1;-4.524581319E-1;2.050310966E0
6.586715875E0;4.279205838E-1;6.041319823E-1;-1.809160098E0
6.836923750E0;-3.662526315E-1;-3.971174517E0;3.017986565E0
7.087167750E0;-2.433226992E0;1.893589214E0;2.802834756E0
7.337381750E0;1.409266680E0;-1.016284087E0;4.272760452E0
7.587625750E0;-9.267246240E-1;4.674979892E0;-5.530612314E-1
7.837832292E0;2.384315034E0;1.197026786E0;6.009779942E-1
8.088045292E0;3.596304259E0;9.784134257E-1;7.495042884E-1
8.338290292E0;2.704743328E0;-1.654646986E0;2.704782797E0
8.588503292E0;-2.780279414E0;-6.141201961E-1;-5.575136522E0
8.838709292E0;-8.919576645E-2;-3.933514355E0;-9.742081082E-1
9.088953292E0;1.045738121E0;4.324354529E0;-1.118064816E0
9.339167292E0;5.894376370E0;-1.388376450E1;5.119514462E0
9.589411292E0;2.120353593E0;-5.522940767E-1;-4.257696855E0
9.839614417E0;1.267432525E0;3.006930065E0;-1.438041998E0
1.008982842E1;-3.792590026E0;-1.300988526E0;-7.680551648E-1
1.034007242E1;-3.686575913E-1;1.438695717E0;-2.627591364E0
1.059028642E1;4.614740707E0;7.794133812E-1;-2.830154117E0
1.084054637E1;9.190747118E-1;1.390960218E0;-1.147959291E0
1.109076037E1;9.410181427E-1;5.125540602E-1;3.991478974E-1
1.134097337E1;1.924491164E0;1.869258365E0;-9.067341632E-1
1.159121737E1;1.079267663E0;3.860548121E0;1.874985713E-1
1.184141600E1;1.217347614E0;1.422227619E0;-2.435716152E-2
1.209166000E1;4.112534464E0;1.838266953E0;2.676711484E0
1.234187400E1;4.016809112E-1;-3.678576922E-1;3.215546440E0
1.259211800E1;-8.304975808E-1;-3.387064571E0;-1.692351440E0
1.284232150E1;4.460403742E0;-5.861857080E-1;-2.019033625E0
1.309253550E1;2.692205436E0;6.061843550E-1;-1.227049314E0
1.334277950E1;8.090555486E-1;5.081043291E-1;-1.553430952E0
1.359299350E1;-1.165061227E0;1.490686235E0;-2.843816721E-1
1.384324912E1;3.765266572E0;3.529969937E-1;-1.457340733E0
1.409346312E1;1.610591139E0;-2.192015898E-1;3.989075768E-1
1.434370712E1;1.992822165E0;2.534306055E-1;-1.181659133E0
1.459392013E1;1.448690216E0;-2.524377483E-1;-9.281916904E-1
1.484410362E1;1.191399279E0;3.871546733E-1;-1.846500417E0
1.509434762E1;1.268564399E0;3.199011683E-3;-7.229848266E-1
1.534456162E1;1.372991724E0;3.331135368E-1;-6.469523120E-1
1.559480562E1;1.083005057E0;1.732500762E-1;-4.067516166E-1
1.584503312E1;8.037265424E-1;8.876131833E-2;-2.561068761E-1
1.609527712E1;6.295207389E-1;1.757345581E-1;-3.194462550E-1
1.634549012E1;2.706120640E-1;1.723846883E-1;-2.790326393E-1
1.659573412E1;2.779643530E-1;3.753503144E-2;-3.195678771E-2
1.684594662E1;2.128240317E-1;6.287861824E-2;-9.626855850E-2
1.709616062E1;1.625563958E-1;6.818087339E-2;-9.420390666E-2
1.734640462E1;1.726583380E-1;8.562487185E-2;-8.304858863E-2
1.759661762E1;8.489660114E-2;9.263802230E-2;-5.758221030E-2
1.784684612E1;7.047298193E-2;8.450688422E-2;-2.805727959E-2
1.809705912E1;7.432571232E-2;1.432608765E-1;-1.403624117E-2
1.834730312E1;3.299750438E-1;-3.618257046E-3;1.268261075E-3
1.859751712E1;-2.190390372E-1;1.180587924E-1;-7.659150839E-2
1.884773292E1;4.783724070E-1;-8.214577854E-2;2.995066649E-1
1.909797692E1;1.808555496E-1;7.793870687E-2;8.936708987E-2
1.934818992E1;-3.964061379E-2;7.033323348E-2;-6.174308896E-2
1.959843392E1;3.858524984E-1;8.411629021E-2;-3.697135985E-2
1.984864312E1;1.796796745E-1;8.084711194E-2;3.111677670E-1
2.009885712E1;-8.831985354E-2;9.933074534E-2;-9.910679698E-2
2.034910112E1;-9.779775158E-1;-1.103539748E0;4.862924606E-1
2.059931413E1;1.062642860E0;-2.582767779E-1;-1.087095038E0
2.084955042E1;-2.520091474E-1;1.364274110E0;1.232722868E0
2.109976342E1;3.610176194E-1;-3.419998428E-1;1.325010642E0
2.134997742E1;-1.383017360E0;-1.813774720E0;1.241230567E0
2.160022142E1;-3.244637507E-1;-6.849288082E-1;-7.134234595E-1
2.185044354E1;-7.526904362E-1;2.854177988E-1;-3.189416403E0
2.210065654E1;2.835271600E0;-6.909233737E-1;-9.187180316E-1
2.235090054E1;9.544521207E-1;-3.231311703E-1;3.621274209E-1
2.260111454E1;-9.233215445E-1;-1.137529027E-1;1.893781003E0
2.285134137E1;-3.964321288E0;-1.303710989E0;2.405286072E0
2.310155537E1;3.868167043E0;2.073406883E0;-1.157085625E0
2.335176837E1;5.230679387E-1;-2.174729775E0;1.707176471E-1
2.360201337E1;6.728736037E-1;4.228039777E-1;-1.273283249E0
2.385221312E1;-1.120219515E0;-4.590859509E-1;1.282539976E-1
2.410245712E1;3.108417848E-1;-9.403059518E-1;-1.100343075E0
2.435267112E1;-4.608164343E-1;1.196363711E-1;-1.537050562E0
2.460288512E1;-2.734969048E0;7.345400941E-1;1.394511817E0
2.485313625E1;2.743987209E-1;-1.297286654E-1;8.353227031E-1
2.510334925E1;1.708433914E0;1.578081644E-1;-4.930746460E-1
2.535356325E1;1.489929020E0;8.912559986E-2;5.191462111E-1
2.560380725E1;-7.899448013E-1;-4.115621209E-2;1.131864830E0
2.585402000E1;-1.323414937E-1;1.816612959E-1;1.638787436E-1
2.610426400E1;6.388194197E-1;-4.692981130E-1;-8.177617604E-1
2.635447700E1;-8.415549579E-1;-5.280620456E-2;-1.640173227E0
2.660469100E1;2.465194890E-1;-1.032378548E0;2.056068134E-1
2.685492104E1;-1.592849664E0;-5.390185583E-1;6.600921750E-3
2.710513504E1;-2.455204922E-1;-9.670242190E-2;-4.247136784E-1
2.735534804E1;6.739079762E-1;7.252009213E-1;7.533564341E-1
2.760559304E1;-8.244223237E-2;2.586515844E-2;8.911577654E-1
2.785581100E1;-1.297473180E0;2.224584889E-1;5.016267836E-1
2.810605500E1;8.009881452E-1;7.984092307E-1;-9.421998650E-1
2.835626900E1;-3.475625914E-1;-1.539121646E-1;-5.153133613E-1
2.860648300E1;-5.417828295E-1;-1.124825367E0;3.965312684E-1
2.885672000E1;1.761195680E0;2.027420286E0;-9.748729366E-1
