Time;latitude;longitude;height;velocity;direction;horizontalAccuracy;verticalAccuracy
0.000000000E0;5.231766371E1;4.872772705E0;-4.454691410E0;-1.000000000E0;-1.000000000E0;1.233004447E3;1.233004447E3
1.831309795E-1;5.231865006E1;4.872656385E0;-4.361345768E0;-1.000000000E0;-1.000000000E0;6.500000000E1;6.500000000E1
3.861222029E0;5.231859857E1;4.873349313E0;-9.638488770E0;1.730000019E0;1.511718750E1;1.000000000E1;1.000000000E1
3.985463977E0;5.231852959E1;4.873274043E0;-2.434055328E0;2.920000076E0;8.156250000E1;1.000000000E1;1.000000000E1
4.985362411E0;5.231852611E1;4.873306565E0;-2.452304840E0;1.730000019E0;2.010937500E2;1.000000000E1;1.000000000E1
5.984608650E0;5.231852414E1;4.873335902E0;-2.255283356E0;7.599999905E-1;1.255078125E2;1.000000000E1;1.000000000E1
6.983892560E0;5.231852414E1;4.873335902E0;-2.066928864E0;0.000000000E0;-1.000000000E0;1.000000000E1;1.000000000E1
7.983231544E0;5.231852414E1;4.873335902E0;-2.273105621E0;0.000000000E0;-1.000000000E0;1.000000000E1;1.000000000E1
8.982604027E0;5.231852414E1;4.873335902E0;-2.221408844E0;0.000000000E0;-1.000000000E0;1.000000000E1;1.000000000E1
9.982020140E0;5.231852414E1;4.873335902E0;-2.257968903E0;0.000000000E0;2.629687500E2;1.000000000E1;1.000000000E1
1.098148012E1;5.231853097E1;4.873368256E0;-2.235813141E0;2.899999917E-1;2.566406250E2;1.000000000E1;1.000000000E1
1.198097479E1;5.231852879E1;4.873367166E0;-2.209812164E0;3.899999857E-1;2.299218750E2;1.000000000E1;1.000000000E1
1.298050225E1;5.231852779E1;4.873372447E0;-2.181369781E0;3.199999928E-1;1.297265625E2;1.000000000E1;1.000000000E1
1.398006177E1;5.231852628E1;4.873383343E0;-2.106052399E0;3.499999940E-1;1.016015625E2;1.000000000E1;1.000000000E1
1.497965169E1;5.231852775E1;4.873389797E0;-2.039951324E0;3.300000131E-1;1.033593750E2;1.000000000E1;1.000000000E1
1.597925818E1;5.231852594E1;4.873397173E0;-2.294956207E0;3.300000131E-1;1.212890625E2;1.000000000E1;1.000000000E1
1.697888744E1;5.231852938E1;4.873401113E0;-2.187351227E0;2.000000030E-1;1.212890625E2;1.000000000E1;1.000000000E1
1.797854340E1;5.231852938E1;4.873401113E0;-2.191074371E0;0.000000000E0;1.212890625E2;1.000000000E1;1.000000000E1
1.897822332E1;5.231852938E1;4.873401113E0;-2.182529449E0;0.000000000E0;1.212890625E2;1.000000000E1;1.000000000E1
1.997792602E1;5.231852938E1;4.873401113E0;-2.065219879E0;0.000000000E0;1.353515625E2;1.000000000E1;1.000000000E1
2.097763836E1;5.231852938E1;4.873401113E0;-1.986362457E0;0.000000000E0;1.550390625E2;1.000000000E1;1.000000000E1
2.197736740E1;5.231852938E1;4.873401113E0;-2.204624176E0;0.000000000E0;2.524218750E2;1.000000000E1;1.000000000E1
2.297711921E1;5.231853160E1;4.873407818E0;-2.301425934E0;4.799999893E-1;1.532812500E2;1.000000000E1;1.000000000E1
2.397688305E1;5.231853160E1;4.873407818E0;-2.191684723E0;0.000000000E0;1.406250000E2;1.000000000E1;1.000000000E1
2.497666335E1;5.231853332E1;4.873414272E0;-2.120456696E0;2.300000042E-1;1.125000000E2;1.000000000E1;1.000000000E1
2.597645867E1;5.231853592E1;4.873418212E0;-1.924716949E0;2.099999934E-1;7.136718750E1;1.000000000E1;1.000000000E1
2.697626328E1;5.231853982E1;4.873421229E0;-2.208530426E0;1.700000018E-1;4.183593750E1;1.000000000E1;1.000000000E1
2.797608089E1;5.231853998E1;4.873420727E0;-2.056064606E0;3.000000119E-1;2.133984375E2;1.000000000E1;1.000000000E1
2.897590744E1;5.231853969E1;4.873419134E0;-1.968967438E0;1.599999964E-1;2.443359375E2;1.000000000E1;1.000000000E1
2.997574258E1;5.231853969E1;4.873419134E0;-1.896884918E0;0.000000000E0;2.204296875E2;1.000000000E1;1.000000000E1
3.097559035E1;5.231854308E1;4.873420475E0;-1.840732574E0;1.599999964E-1;3.164062500E1;1.000000000E1;1.000000000E1
3.197544408E1;5.231854673E1;4.873419218E0;-1.901401520E0;1.500000060E-1;2.425781250E1;1.000000000E1;1.000000000E1
3.297530782E1;5.231854673E1;4.873419218E0;-2.147129059E0;0.000000000E0;1.265625000E1;1.000000000E1;1.000000000E1
3.397517920E1;5.231854338E1;4.873411339E0;-1.984592438E0;2.599999905E-1;2.179687500E2;1.000000000E1;1.000000000E1
3.497505796E1;5.231854338E1;4.873411339E0;-1.735691071E0;0.000000000E0;2.084765625E2;1.000000000E1;1.000000000E1
3.597494400E1;5.231854367E1;4.873406142E0;-1.987339020E0;1.899999976E-1;1.905468750E2;1.000000000E1;1.000000000E1
3.697483468E1;5.231854455E1;4.873407735E0;-2.115512848E0;2.199999988E-1;1.715625000E2;1.000000000E1;1.000000000E1
3.797473311E1;5.231854489E1;4.873411674E0;-2.369541168E0;2.800000012E-1;1.705078125E2;1.000000000E1;1.000000000E1
3.897463703E1;5.231853956E1;4.873415194E0;-2.220493317E0;2.000000030E-1;1.726171875E2;1.000000000E1;1.000000000E1
3.997454679E1;5.231854342E1;4.873417374E0;-2.259311676E0;2.800000012E-1;3.494531250E2;1.000000000E1;1.000000000E1
4.097446167E1;5.231855398E1;4.873421732E0;-2.386081696E0;8.399999738E-1;9.492187500E0;1.000000000E1;1.000000000E1
4.197438037E1;5.231856094E1;4.873429025E0;-2.322116852E0;8.399999738E-1;1.863281250E1;1.000000000E1;1.000000000E1
4.297430432E1;5.231857116E1;4.873446627E0;-2.371067047E0;1.419999957E0;3.902343750E1;1.000000000E1;1.000000000E1
4.397423184E1;5.231859032E1;4.873467414E0;-2.440219879E0;1.919999957E0;3.867187500E1;1.000000000E1;1.000000000E1
4.497416437E1;5.231861789E1;4.873497505E0;-2.493625641E0;1.919999957E0;3.515625000E1;3.000000000E1;3.000000000E1
4.597409952E1;5.231864342E1;4.873516699E0;-2.432834625E0;2.190000057E0;2.707031250E1;1.000000000E1;1.000000000E1
4.697403812E1;5.231864974E1;4.873525668E0;-2.475742340E0;2.190000057E0;2.847656250E1;3.000000000E1;3.000000000E1
4.797398078E1;5.231863709E1;4.873535894E0;-2.522983551E0;1.059999943E0;4.605468750E1;3.000000000E1;3.000000000E1
4.897392714E1;5.231863382E1;4.873560788E0;-2.584873199E0;1.509999990E0;8.718750000E1;1.000000000E1;1.000000000E1
4.997387457E1;5.231862887E1;4.873575289E0;-2.560276031E0;1.059999943E0;9.562500000E1;3.000000000E1;3.000000000E1
5.097382522E1;5.231863985E1;4.873601943E0;-2.748569489E0;1.509999990E0;6.292968750E1;3.000000000E1;3.000000000E1
5.197377825E1;5.231865490E1;4.873626754E0;-2.678989410E0;1.799999952E0;4.781250000E1;3.000000000E1;3.000000000E1
5.297373295E1;5.231864413E1;4.873655671E0;-2.797031403E0;1.980000019E0;6.820312500E1;3.000000000E1;3.000000000E1
5.397369111E1;5.231863755E1;4.873704538E0;-2.901950836E0;2.630000114E0;9.035156250E1;3.000000000E1;3.000000000E1
5.497365117E1;5.231862816E1;4.873747453E0;-2.993564606E0;2.079999924E0;1.037109375E2;3.000000000E1;3.000000000E1
5.597361302E1;5.231862024E1;4.873761032E0;-2.977695465E0;2.079999924E0;9.597656250E1;1.000000000E1;1.000000000E1
5.697357631E1;5.231861571E1;4.873773856E0;-2.947116852E0;1.259999990E0;9.843750000E1;1.000000000E1;1.000000000E1
5.797354114E1;5.231861475E1;4.873794895E0;-2.650669098E0;1.370000005E0;1.012500000E2;1.000000000E1;1.000000000E1
