Time;x;y;z
3.312070000E-1;-1.969107056E1;-2.179090881E1;-3.492224121E1
5.814210000E-1;-2.049697876E1;-1.156530762E1;-3.911535645E1
8.316309167E-1;-1.896597290E1;-2.587402344E0;-4.170758057E1
1.081844917E0;-2.340457153E1;8.308349609E0;-3.897344971E1
1.332058917E0;-2.207574463E1;4.116300964E1;-9.113708496E0
1.582302917E0;-3.017977905E1;1.417994690E1;3.785241699E1
1.832525875E0;-4.053009033E0;-1.760621643E1;4.539697266E1
2.082739875E0;-1.840377808E1;-3.188095093E0;4.583886719E1
2.332953875E0;-2.886962891E0;-2.082138062E0;4.881402588E1
2.583197875E0;3.569241333E1;1.173948669E1;2.782934570E1
2.833395500E0;1.786190796E1;2.655883789E1;-3.600543213E1
3.083609500E0;-6.016082764E0;2.346731567E1;-4.156317139E1
3.333823500E0;-9.656158447E0;2.231143188E1;-4.133166504E1
3.584067500E0;-1.315328979E1;2.418231201E1;-3.929266357E1
3.834277250E0;-1.175729370E1;2.413763428E1;-3.966790771E1
4.084491250E0;-2.753997803E0;3.420590210E1;-3.307708740E1
4.334705250E0;2.734710693E0;3.984304810E1;-2.614855957E1
4.584949250E0;-2.127563477E0;3.681198120E1;-3.049389648E1
4.835148250E0;-1.723266602E0;3.937179565E1;-2.707922363E1
5.085362250E0;-1.475738525E0;3.739733887E1;-2.987365723E1
5.335606250E0;3.895202637E0;4.464103699E1;-1.668273926E1
5.585820250E0;1.432220459E0;4.358174133E1;-1.898968506E1
5.836043875E0;-1.203305054E1;3.477870178E1;-3.016156006E1
6.086287875E0;-1.293164062E1;2.476124573E1;-3.863769531E1
6.336501875E0;-1.167568970E1;3.068251038E1;-3.478625488E1
6.586715875E0;-2.059793091E1;2.531370544E1;-3.415417480E1
6.836923750E0;-3.189965820E1;3.437046814E1;-2.608032227E-1
7.087167750E0;-3.220053101E1;3.248188782E1;1.063934326E1
7.337381750E0;-2.193984985E1;4.142567444E1;2.304870605E0
7.587625750E0;-2.224917603E1;4.126411438E1;5.356445312E-1
7.837832292E0;-2.107089233E1;3.982209778E1;1.275457764E1
8.088045292E0;-1.812881470E1;4.118797302E1;1.197259521E1
