Time,distance
0.000000000E0,5.000000000E0
7.146350145E-1,0.000000000E0
7.427990437E-1,5.000000000E0
8.449519873E-1,0.000000000E0
2.589869022E0,5.000000000E0
3.165230989E0,0.000000000E0
1.463498402E1,5.000000000E0
3.055441701E1,0.000000000E0
3.112681806E1,5.000000000E0
1.145698485E3,0.000000000E0
1.158697687E3,5.000000000E0
1.209791120E3,0.000000000E0
2.003900810E3,5.000000000E0
2.003954411E3,0.000000000E0
2.004294804E3,5.000000000E0
2.004492848E3,0.000000000E0
2.925397249E3,5.000000000E0
2.963119882E3,0.000000000E0
3.461010310E3,5.000000000E0
3.461912567E3,0.000000000E0
3.462603318E3,5.000000000E0
3.462694042E3,0.000000000E0
3.463145379E3,5.000000000E0
3.463245638E3,0.000000000E0
3.470153534E3,5.000000000E0
