"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,6.227050781E-2,1.983375549E-1,9.770931244E0
2.496890000E-1,4.715194702E-2,2.131567383E-1,9.786798248E0
4.993789999E-1,3.592529297E-2,2.130070496E-1,9.784253540E0
7.490700000E-1,4.550537109E-2,2.121089172E-1,9.777068481E0
9.987600000E-1,4.236190796E-2,2.089654541E-1,9.783505096E0
1.248450000E0,4.086502075E-2,2.173480225E-1,9.784852295E0
1.498144125E0,4.191284180E-2,2.103126526E-1,9.771829376E0
1.747834125E0,3.817062378E-2,2.089654541E-1,9.789792023E0
1.997524125E0,3.218307495E-2,2.101629639E-1,9.746232605E0
2.247214125E0,4.550537109E-2,2.170486450E-1,9.776170349E0
2.496899917E0,3.772155762E-2,2.088157654E-1,9.785301361E0
2.746590917E0,4.400848389E-2,2.094145203E-1,9.774673462E0
2.996280917E0,4.355941772E-2,2.073188782E-1,9.781259766E0
3.245970917E0,4.236190796E-2,2.146536255E-1,9.767488403E0
3.495661000E0,4.146377563E-2,2.236349487E-1,9.775870972E0
3.745351000E0,3.966751099E-2,2.098635864E-1,9.777517548E0
3.995041000E0,4.834945679E-2,2.230361938E-1,9.778864746E0
4.244731000E0,4.580474854E-2,2.197430420E-1,9.775721283E0
4.494420375E0,5.284011841E-2,2.294728088E-1,9.792935486E0
4.744110375E0,3.697311401E-2,2.151026917E-1,9.788594513E0
4.993800375E0,1.766326904E-2,2.143542480E-1,9.778116302E0
5.243490375E0,4.011657715E-2,2.112107849E-1,9.782157898E0
5.493180875E0,4.071533203E-2,2.010319519E-1,9.779014435E0
5.742870875E0,4.849914551E-2,2.040257263E-1,9.781110077E0
5.992560875E0,5.433700562E-2,2.082170105E-1,9.779613190E0
6.242251875E0,4.700225830E-2,2.233355713E-1,9.778415680E0
6.491942417E0,3.832031250E-2,2.128573608E-1,9.776469727E0
6.741632417E0,3.323089600E-2,2.124082947E-1,9.774823151E0
6.991322417E0,3.951782227E-2,2.183958435E-1,9.778265991E0
7.241012417E0,3.592529297E-2,2.089654541E-1,9.773475952E0
7.490701792E0,3.861968994E-2,2.055226135E-1,9.773625641E0
7.740391792E0,3.472778320E-2,2.191442871E-1,9.776020660E0
7.990081792E0,3.637435913E-2,2.121089172E-1,9.780810699E0
8.239771792E0,3.876937866E-2,2.234852600E-1,9.780960388E0
8.489461250E0,3.802093506E-2,2.212399292E-1,9.773475952E0
8.739151250E0,4.086502075E-2,2.200424194E-1,9.786349182E0
8.988841250E0,5.149291992E-2,2.137554932E-1,9.779164124E0
9.238531250E0,4.251159668E-2,2.115101624E-1,9.780511322E0
9.488220875E0,4.700225830E-2,2.083666992E-1,9.767787781E0
9.737910875E0,4.340972900E-2,2.137554932E-1,9.779912567E0
9.987600875E0,3.936813354E-2,2.227368164E-1,9.790241089E0
1.023729087E1,4.251159668E-2,2.151026917E-1,9.783355408E0
1.048698062E1,5.718109131E-2,2.115101624E-1,9.779762878E0
1.073667062E1,2.335144043E-2,2.167492676E-1,9.786349182E0
